p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 243 - G57 Wine ,6 bts Listrac Ch. Clarke    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102288/102288_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 173 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 244 - G57 Wine ,6 bts Listrac Ch. Clarke    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102297/102297_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 127 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 245 - G57 Wine ,6 bts Listrac Ch. Clarke    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102306/102306_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 127 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 246 - G57 Wine ,6 bts Listrac Ch. Clarke    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102315/102315_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 127 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 436 - G57 Wine ,6 bts Saint-Emilion Ch. Bergeat    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103973/103973_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 104 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 404 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103692/103692_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 405 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103701/103701_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 406 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103710/103710_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 407 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103719/103719_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 408 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103728/103728_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 409 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103737/103737_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 410 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103746/103746_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 411 - G57 Wine ,6 bts Pomerol  Domaine de l'Eglise    75cl  OWC6 2009,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103755/103755_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 233 - G57 Wine ,6 bts Côte de Castillon  Clos Puy Arnaud    75cl  OWC6 2006,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102200/102200_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 127 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 234 - G57 Wine ,6 bts Côtes de Castillon Clos Puy Arnaud  75cl  OWC6 2006,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102208/102208_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 115 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
