p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 285 - G57 Wine ,12 bts Margaux Ch. Marquis de Terme 4ème Grand Cru Classé   75cl  OWC12 2006,,,,,,CHF 420 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102633/102633_l_1.jpg,€ 350 / 450 , 	 		 					 			 				Sold for CHF 518 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 286 - G57 Wine ,12 bts Margaux Ch. Marquis de Terme 4ème Grand Cru Classé   75cl  OWC12 2006,,,,,,CHF 420 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102642/102642_l_1.jpg,€ 350 / 450 , 	 		 					 			 				Sold for CHF 506 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 287 - G57 Wine ,12 bts Margaux Ch. Marquis de Terme 4ème Grand Cru Classé   75cl  OWC12 2006,,,,,,CHF 420 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102651/102651_l_1.jpg,€ 350 / 450 , 	 		 					 			 				Sold for CHF 414 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 459 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104154/104154_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 196 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 460 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104163/104163_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 461 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104169/104169_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 462 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104178/104178_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 463 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104187/104187_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 207 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 464 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104195/104195_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 207 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 465 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104204/104204_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 207 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 466 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104214/104214_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 207 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 467 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104222/104222_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 184 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 468 - G57 Wine ,6 bts Pessac-Léognan Ch. Larrivet Haut Brion Grand Cru Classé   75cl  OWC6 2010,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104231/104231_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 196 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 321 - G57 Wine ,12 bts Pauillac Ch. Clerc Milon 5ème Grand Cru Classé   75cl  OWC12 1975,,,,,,CHF 720 / 960 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102957/102957_l_1.jpg,€ 600 / 800 , 	 		 					 			 				Sold for CHF 690 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 276 - G57 Wine ,6 bts Margaux Ch. Pavillon Rouge de Ch. Margaux Second Vin   75cl  OWC6 1990,,,,,,CHF 600 / 780 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102554/102554_l_1.jpg,€ 500 / 650 , 	 		 					 			 				Sold for CHF 805 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 277 - G57 Wine ,6 bts Margaux Ch. Pavillon Rouge de Ch. Margaux Second Vin   75cl  OWC6 1990,,,,,,CHF 600 / 780 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102561/102561_l_1.jpg,€ 500 / 650 , 	 		 					 			 				Sold for CHF 690 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 422 - G57 Wine ,12 bts Saint-Emilion Ch. Pavie 1er Grand Cru Classé A   75cl  OWC12 1989,,,,,,CHF 1 200 / 1 560 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103854/103854_l_1.jpg,€ 1 000 / 1 300 , 	 		 					 			 				Sold for CHF 1 725 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 351 - G57 Wine ,12 bts Pauillac Ch. Clerc Milon 5ème Grand Cru Classé   75cl  OWC12 2003,,,,,,CHF 600 / 780 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103229/103229_l_1.jpg,€ 500 / 650 , 	 		 					 			 				Sold for CHF 748 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 334 - G57 Wine ,6 bts Pauillac Ch. Mouton Rothschild 1er Grand Cru Classé   75cl  OWC6 1990,,,,,,CHF 1 500 / 2 100 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103078/103078_l_1.jpg,€ 1 250 / 1 750 , 	 		 					 			 				Sold for CHF 2 070 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 349 - G57 Wine ,6 bts Pauillac Ch. Mouton Rothschild 1er Grand Cru Classé   75cl  OWC12 2000,,,,,,CHF 6 600 / 7 800 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103211/103211_l_1.jpg,€ 5 500 / 6 500 , 	 		 					 			 				Sold for CHF 5 750 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 335 - G57 Wine ,"10 bts: Pauillac Ch. Mouton Rothschild 1er Grand Cru Classé 75cl: 1x1977, 1x1978, 1x1979, 1x1980, 1x1981, 1x1982, 1x1983, 1x1984, 1x...",,,,,,CHF 2 520 / 3 160 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103087/103087_l_1.jpg,€ 2 100 / 2 630 , 	 		 					 			 				Sold for CHF 2 530 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 299 - G57 Wine ,9 bts Saint-Julien Ch. Leoville Las Cases 2ème Grand Cru Classé   75cl   1982,,,,,,CHF 3 600 / 4 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102759/102759_l_1.jpg,€ 3 000 / 3 750 , 	 		 					 			 				Sold for CHF 2 875 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 371 - G57 Wine ,"3 bts: 1 bt Saint-Estèphe Ch. Cos d'Estournel 75cl   1986, 1 bt Saint-Julien Ch. Branaire Ducru 75cl   1996, 1 bt Pessac-Léognan Ch....",,,,,,CHF 210 / 280 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103405/103405_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 142 - G57 Wine ,"3 bts: 2 bts Beaune Marconnets Domaine Camille Giroud 75cl 1969, 1 bt Echézeaux Domaine Hervé Roumier 75cl 1995",,,,,,CHF 400 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101403/101403_l_1.jpg,€ 330 / 450 , 	 		 					 			 				Sold for CHF 345 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,"rand Cru 2005, 1 X Armand Rousseau Chambertin Clos de Bèze 2006, 1 X Georges Mugneret Gibourg Echézeaux 2009, 1 X Dugat-Py Gevrey-Chambertin Les Evocelles 2006",Lot 210 - G57 Wine ,"6 bts: 2 bts Tollot-Beaut Corton-Bressandes Grand Cru 2005, 1 bt Tollot-Beaut Corton Grand Cru 2005, 1 bt Armand Rousseau Chambertin...",,,,,,CHF 1 280 / 1 640 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101997/101997_l_1.jpg,€ 1 070 / 1 370 , 	 		 					 			 				Sold for CHF 1 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 131 - G57 Wine ,"5 bts: 3 bts Pommard Domaine François Buffet 1er Cru Clos Micot  75cl   1983, 2 bts Volnay Domaine François Buffet 1er Cru Clos de l...",,,,,,CHF 110 / 160 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101305/101305_l_1.jpg,€ 90 / 130 , 	 		 					 			 				Sold for CHF 161 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 485 - G57 Wine ,"6 bts: 2 bts Pinot Gris Ernest Burn Grand Cru Goldert  BLANC 75cl   2005, 2 bts Muscat Ernest Burn Grand Cru Goldert  BLANC 75cl   2...",,,,,,CHF 90 / 150 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104381/104381_l_1.jpg,€ 80 / 130 , 	 		 					 			 				Sold for CHF 92 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 510A - G57 Wine ,"6 bts: 1 bt USA Alexander Valley Jordan 75cl 1988, 3 bts USA Alexander Valley Jordan 75cl 1989, 2 bts USA Alexander Valley Jordan 75...",,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104603/104603_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
